.mw-parser-output .hidden-begin{box-sizing:border-box;width:100%;padding:5px;border:none;font-size:95%}.mw-parser-output .hidden-title{font-weight:bold;line-height:1.6;text-align:left}.mw-parser-output .hidden-content{text-align:left}Country or territory (Territories without full sovereignty in italics) [a],Total length of land borders,Total length of land borders,No. of distinct land borders,No. of distinct land neighbours,Land border neighbours and border length (Territories without full sovereignty in italics) [a] (#) = No. of distinct land boundaries with that country or territory
.mw-parser-output .hidden-begin{box-sizing:border-box;width:100%;padding:5px;border:none;font-size:95%}.mw-parser-output .hidden-title{font-weight:bold;line-height:1.6;text-align:left}.mw-parser-output .hidden-content{text-align:left}Country or territory (Territories without full sovereignty in italics) [a],km[b],mi,No. of distinct land borders,No. of distinct land neighbours,Land border neighbours and border length (Territories without full sovereignty in italics) [a] (#) = No. of distinct land boundaries with that country or territory
Mali,7243.0,4501,7,7,"Algeria: 1,376 km (855 mi)  Burkina Faso: 1,000 km (620 mi)  Côte d'Ivoire: 532 km (331 mi)  Guinea: 858 km (533 mi)  Mauritania: 2,237 km (1,390 mi)  Niger: 821 km (510 mi)  Senegal: 419 km (260 mi)"
Malta,0.0,0,0,0,
Marshall Islands,0.0,0,0,0,
Mauritania,5074.0,3153,4,4,"Algeria: 463 km (288 mi)  Mali: 2,237 km (1,390 mi)  Senegal: 813 km (505 mi)  Western Sahara:[d] 1,561 km (970 mi)"
Mauritius,0.0,0,0,0,
Mexico,4353.0,2705,3,3,"Belize: 250 km (160 mi)  Guatemala: 962 km (598 mi)  United States: 3,141 km (1,952 mi)"
Federated States of Micronesia,0.0,0,0,0,
Moldova,1389.0,863,2,2,Romania: 450 km (280 mi)  Ukraine: 939 km (583 mi)
Monaco,4.4,2.7,1,1,France: 4.4 km (2.7 mi)
Mongolia,8220.0,5110,2,2,"People's Republic of China: 4,677 km (2,906 mi)  Russia: 3,485 km (2,165 mi)"
Montenegro,625.0,388,5,5,Albania: 172 km (107 mi)  Bosnia and Herzegovina: 225 km (140 mi)  Croatia: 25 km (16 mi)  Kosovo:[c] 79 km (49 mi)  Serbia: 124 km (77 mi)
Morocco,2018.0,1254,5,3,"Algeria: 1,559 km (969 mi)  Western Sahara:[d] 443 km (275 mi)  Spain (3): 17 km (11 mi)[aj]"
Mozambique,4571.0,2840,6,6,"Eswatini: 105 km (65 mi)  Malawi: 1,569 km (975 mi)  South Africa (2): 491 km (305 mi)  Tanzania: 756 km (470 mi)  Zambia: 419 km (260 mi)  Zimbabwe: 1,231 km (765 mi)"
Myanmar,5876.0,3651,5,5,"Bangladesh: 193 km (120 mi)  People's Republic of China: 2,185 km (1,358 mi)  India: 1,463 km (909 mi)  Laos: 235 km (146 mi)  Thailand: 1,800 km (1,100 mi)"
Namibia,3936.0,2446,4,4,"Angola: 1,376 km (855 mi)  Botswana: 1,360 km (850 mi)  South Africa: 967 km (601 mi)  Zambia: 233 km (145 mi)"
Nauru,0.0,0,0,0,
Nepal,2926.0,1818,2,2,"People's Republic of China: 1,236 km (768 mi)  India: 1,690 km (1,050 mi)"
Netherlands (constituent country),1027.0,638,32,2,Belgium (31):[m] 450 km (280 mi)  Germany: 577 km (359 mi)
"Netherlands, Kingdom of →includes: → Aruba → Curaçao → Netherlands (constituent country) (including Caribbean Netherlands) → Sint Maarten",1037.0,644,33,3,Belgium (31):[m] 450 km (280 mi)  Germany: 577 km (359 mi)  Saint Martin[ak] (France): 10.2 km (6.3 mi)
New Zealand,0.0,0,0,0,
Nicaragua,1231.0,765,2,2,Costa Rica: 309 km (192 mi)  Honduras: 922 km (573 mi)
Niger,5697.0,3540,7,7,"Algeria: 956 km (594 mi)  Benin: 266 km (165 mi)  Burkina Faso: 628 km (390 mi)  Chad: 1,175 km (730 mi)  Libya: 354 km (220 mi)  Mali: 821 km (510 mi)  Nigeria: 1,497 km (930 mi)"
Nigeria,4047.0,2515,4,4,"Benin: 773 km (480 mi)  Cameroon: 1,690 km (1,050 mi)  Chad: 87 km (54 mi)  Niger: 1,497 km (930 mi)"
North Macedonia,766.0,476,5,5,Albania: 151 km (94 mi)  Bulgaria: 148 km (92 mi)  Greece: 246 km (153 mi)  Kosovo:[c] 159 km (99 mi)  Serbia: 62 km (39 mi)
Norway,2551.0,1585,3,3,"Finland: 736 km (457 mi)  Sweden: 1,619 km (1,006 mi)  Russia: 196 km (122 mi)"
Oman,1374.0,854,6,3,Saudi Arabia: 676 km (420 mi)  United Arab Emirates (4): 410 km (250 mi)  Yemen: 288 km (179 mi)
Pakistan,6774.0,4209,4,4,"Afghanistan: 2,430 km (1,510 mi)  India: 2,912 km (1,809 mi)  Iran: 909 km (565 mi)  People's Republic of China: 523 km (325 mi)"
Palau,0.0,0,0,0,
Palestine[v],466.0,290,3,3,Egypt: 11 km (6.8 mi)  Israel: 358 km (222 mi)  Jordan: 97 km (60 mi)
Panama,555.0,345,2,2,Colombia: 225 km (140 mi)  Costa Rica: 330 km (210 mi)
Papua New Guinea,820.0,510,1,1,Indonesia: 820 km (510 mi)
Paraguay,3920.0,2440,3,3,"Argentina: 1,880 km (1,170 mi)  Bolivia: 750 km (470 mi)  Brazil: 1,290 km (800 mi)"
